Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price,Description
90,1392,2,False,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کد ۶۹۱
*اپارتمان طبقه اول*
۴ طبقه دو واحدی
۸۵ متر بنا
دوخواب
کابینت ام دی اف
کف سرامیک
فروشنامه ای</p>"
95,1401,1,False,True,False,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کلا ۳ ط ۳واحد
شخصی ساز 
مرکز شهر 
فاصله باساحل ۳۰۰ متر 
نماسنگ</p>"
140,1401,2,True,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کد ۷۲۶
آپارتمان نوساز شهری 
خ معلم 
کلا ۳ ط ۳ واحد 
۱۴۰ متری 
دوخواب 
پارکینگ 
انباری 
آسانسور 
سرویس ایرانی و فرنگی 
سقف کناف</p>"
110,1401,2,True,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کد۷۳۵
آپارتمان نوساز 
شهری 
خ امام 
۱۱۰ متری 
کلا ۴ ط ۸ واحد 
فروشی ط ۲ 
پارکینگ 
انباری 
آسانسور 
سندتک برگ 
دوخواب 
پکیچ 
رادیاتور 
اتاق پخت 
کمد دیواری و کابینت 
نما سنگ 
انشعابات جدا</p>"
136,1396,2,False,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۰۴۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان 

کد ۱۷۲/۱۶۰

آپارتمان شهری 

محمودآباد 

۱۳۶ متر بنا 

۴ طبقه ۴ واحد 

طبقه اول شمالی

۲ خوابه 

۱ خواب با مستر 

۲ تراس شمالی و جنوبی 

با پارکینگ انباری 

سنددار 

قیمت متری ۱۵ میلیون 

جهت اطلاع بیشتر تماس بگیرید 

خانم اسفندیار 
آ.م</p>"
120,1401,3,True,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۵۲۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان 

کد ۱۷۱/۲۲

آپارتمان شهری محمودآباد 

۵ طبقه ۱۰ واحد 

طبقه ۳

۱۲۰ متر بنا 

۳ خوابه 

دارای پارکینگ انباری آسانسور 

سند تک برگ 

قیمت متری ۲۱ میلیون 

جهت اطلاع بیشتر با شماره 

***********
***********
***********
تماس بگیرید 

خانم اسفندیار 
آ.م</p>"
105,1391,2,False,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان 

کد ۱۷۲/۶۱۸

فروش فوری 

آپارتمان شهری 

محمودآباد 

۳ طبقه ۳ واحد 

طبقه ۲

۱۰۵ متر بنا 

۲ خوابه 

ملک دو نبش 

از دو تا کوچه در ورودی داره 

سند تک برگ 

با پارکینگ انباری 

قیمت ۱/۷۰۰ میلیارد 

جهت اطلاع بیشتر تماس بگیرید 

خانم اسفندیار 
آ.م</p>"
85,1401,2,False,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۵۳۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان 

کد ۱۷۱/۱۹

آپارتمان شهری محمودآباد 

۳ طبقه ۳ واحد 

طبقه اول 

۸۵ متر بنا 

۲ خوابه 

پروانه ساخت پایان کار 

سند تک برگ 

قیمت متری ۱۸ میلیون 

جهت اطلاع بیشتر تماس بگیرید 

خانم اسفندیار 
آ.م</p>"
110,1401,2,True,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان 

کد ۲۹/۴۱۰

آپارتمان ساحلی 

شهرکی 

خشت سر

۵ طبقه ۱۰ واحد 

طبقه اول 

۲ خوابه 

۱۱۰ متر بنا 

با پارکینگ انباری آسانسور 

استخر آلاچیق مشاع

کابینت پکیج شیرآلات نصب شده 

سند تک برگ 

کل مساحت زمین ۳۰۰ متر 

همراه با مشاعات پارک شهرک

قیمت متری ۴۰ میلیون 

جهت اطلاع بیشتر تماس بگیرید 

خانم اسفندیار 
آ.م</p>"
100,1401,2,True,True,True,۵ ساعت پیش در محمودآباد | فروش آپارتمان,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">❗️ مشخصات آپارتمان ❗️
 کد : A664

نام شهر: محمودآباد 
منطقه: خیابان معلم 
متراژ بنا: 100
متراژ مشاعات :
طبقه: کل طبقات
کل طبقات ساختمان: 7
تعداد واحد هر طبقه: 2
کل واحد ها: 12
تعداد خواب: 2
سال ساخت: نوساز 

⭕️ آپشن های آپارتمان
✅ پلاک اول دریا 
✅ استخر داخل حیاط 
✅ تراس 
✅ ویو ابدی



وضعیت سند: تک برگ 


قیمت طبقه اول : 5 میلیارد 
متری 50 میلیون از پایه

#A664
#A5



کارشناس فروش: الهام مهرداد</p>"
