Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price,Description
260,1387,4,False,True,True,۵ ساعت پیش در ساری | فروش آپارتمان,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">سند مالکیت
پارکینگ
دو واحد یکجا</p>"
105,1401,2,True,True,True,۶ ساعت پیش در ساری | فروش آپارتمان,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کارمندان ۱۰۵ متر تک واحدی  خوش نقشه نوساز خشک  پارکینگ انباری آسانسور  
انتخابی برای کسانی که آپارتمان کم واحد را می پسندند 
بازدید ۴ عصر به بعد
همکاران مشاور املاک لطفا تماس نگیرند پاسخگو نیستم 
مشاور املاک کابوک  مشاوره تخصصی ملک</p>"
91,1398,2,False,True,True,۱۲ ساعت پیش در ساری، خیابان دخانیات | فروش آپارتمان,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">موقعیت مکانی عالی</p>"
80,1385,2,True,True,True,۱۳ ساعت پیش در ساری | فروش آپارتمان,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">مکان نشتن رهن وجود دارد
خوش نقشه و از بهتربن کابینت بکار رفته
لطفا برای بازدید به این شماره موبایل زنگ بزنید
***********</p>"
129,1396,2,True,True,True,۱۴ ساعت پیش در ساری | فروش آپارتمان,۲٬۱۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">بر اصلی خیابان شفا ،فوق العاده خوش نقشه با نور گیری عالی دور تا دور پنجره دارای ٣ عدد تراس قابل استفاده ،آسانسور ،انباری، پارکینگ ،سند تک برگ</p>"
94,1401,2,True,False,True,۱۴ ساعت پیش در ساری | فروش آپارتمان,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">معاوضه با ساختمان ۴یا ۵ساله هم انجام می دهم</p>"
105,1400,2,False,True,True,۱۵ ساعت پیش در ساری، خیابان مهدشت (جاده ساری) | فروش آپارتمان,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">آپارتمان ۱۰۵ متری شیک در سه طبقه،(سه واحد)،محلی دنج و مناسب ...کاملا شخصی ساز 
دارای پارکینگ و انباری مستقل 
طبقه اول و دوم امکانات فول......
پکیج....کمد دیواری....کابینت  MDF 
طبقه سوم خشک...کلید تحویل 
شهرداری صفر 
مناسب برای مصرف کننده

شماره تماس صاحب ملک: ************ قدمی</p>"
146,1401,2,True,True,True,۱۸ ساعت پیش در ساری، خیابان وصال شیرازی (خ. امیر مازندرانی) | فروش آپارتمان,۲٬۶۸۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">۵طبقه ۵ واحد 
طبقه ۴ 
۱۴۶ متر ۲ خواب
پارکینگ انباری آسانسور
نورگیر عالی
کم واحد تک واحدی
خود سازنده سکونت داره 
هال پذیرایی بزرگ</p>"
75,1400,2,True,True,True,۱۸ ساعت پیش در ساری | فروش آپارتمان,۶۲۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">آپارتمان ۷۵ متری در یکی از بهترین و تمیزترین بلوک ها دارای مدریت منظم و قوی 
واحد خام
آسانسور ها فعال
درب پارکینک ریموت دار
نور پردازی ساختمان
۶۰ میلیون وام دارد که به عهده خریدار میباشد (حدود ۲۰ میلیون آن تا کنون پرداخت شده)
مناسب برای سرمایه گذاری
محوطه سازی ساختمان ها در حال تکمیل
تخفیف پای معامله
لطفا فقط تماس چت پاسخگو نیستم</p>"
116,1397,2,True,True,True,۱۸ ساعت پیش در ساری، کوچه قائم (بلوار طالقانی) | فروش آپارتمان,۱٬۹۷۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">۵طبقه ۱۵ واحد 
طبقه ۳
۱۱۶ متر دو خواب
پارکینگ انباری آسانسور
بسیار شیک و خوش نقشه 
پکیج رادیاتور کابینت ام دی اف
موقعیت عالی بر اصلی قائم 
تا بلوار طالقانی ۱۰۰ متر</p>"
